Sample in Buffer,Sample in Window,TRIGGER,sin_out_OBUF[7:0]
0,0,0,9a
1,1,0,9a
2,2,0,9a
3,3,0,9a
4,4,0,97
5,5,0,97
6,6,0,97
7,7,0,97
8,8,0,97
9,9,0,97
10,10,0,97
11,11,0,97
12,12,0,97
13,13,0,97
14,14,0,97
15,15,0,97
16,16,0,97
17,17,0,97
18,18,0,97
19,19,0,97
20,20,0,97
21,21,0,97
22,22,0,97
23,23,0,97
24,24,0,97
25,25,0,90
26,26,0,90
27,27,0,90
28,28,0,90
29,29,0,90
30,30,0,90
31,31,0,90
32,32,0,90
33,33,0,90
34,34,0,90
35,35,0,90
36,36,0,90
37,37,0,90
38,38,0,90
39,39,0,90
40,40,0,90
41,41,0,90
42,42,0,90
43,43,0,90
44,44,0,90
45,45,0,90
46,46,0,87
47,47,0,87
48,48,0,87
49,49,0,87
50,50,0,87
51,51,0,87
52,52,0,87
53,53,0,87
54,54,0,87
55,55,0,87
56,56,0,87
57,57,0,87
58,58,0,87
59,59,0,87
60,60,0,87
61,61,0,87
62,62,0,87
63,63,0,87
64,64,0,87
65,65,0,87
66,66,0,87
67,67,0,7a
68,68,0,7a
69,69,0,7a
70,70,0,7a
71,71,0,7a
72,72,0,7a
73,73,0,7a
74,74,0,7a
75,75,0,7a
76,76,0,7a
77,77,0,7a
78,78,0,7a
79,79,0,7a
80,80,0,7a
81,81,0,7a
82,82,0,7a
83,83,0,7a
84,84,0,7a
85,85,0,7a
86,86,0,7a
87,87,0,7a
88,88,0,6c
89,89,0,6c
90,90,0,6c
91,91,0,6c
92,92,0,6c
93,93,0,6c
94,94,0,6c
95,95,0,6c
96,96,0,6c
97,97,0,6c
98,98,0,6c
99,99,0,6c
100,100,0,6c
101,101,0,6c
102,102,0,6c
103,103,0,6c
104,104,0,6c
105,105,0,6c
106,106,0,6c
107,107,0,6c
108,108,0,6c
109,109,0,5d
110,110,0,5d
111,111,0,5d
112,112,0,5d
113,113,0,5d
114,114,0,5d
115,115,0,5d
116,116,0,5d
117,117,0,5d
118,118,0,5d
119,119,0,5d
120,120,0,5d
121,121,0,5d
122,122,0,5d
123,123,0,5d
124,124,0,5d
125,125,0,5d
126,126,0,5d
127,127,0,5d
128,128,0,5d
129,129,0,5d
130,130,0,4d
131,131,0,4d
132,132,0,4d
133,133,0,4d
134,134,0,4d
135,135,0,4d
136,136,0,4d
137,137,0,4d
138,138,0,4d
139,139,0,4d
140,140,0,4d
141,141,0,4d
142,142,0,4d
143,143,0,4d
144,144,0,4d
145,145,0,4d
146,146,0,4d
147,147,0,4d
148,148,0,4d
149,149,0,4d
150,150,0,4d
151,151,0,3d
152,152,0,3d
153,153,0,3d
154,154,0,3d
155,155,0,3d
156,156,0,3d
157,157,0,3d
158,158,0,3d
159,159,0,3d
160,160,0,3d
161,161,0,3d
162,162,0,3d
163,163,0,3d
164,164,0,3d
165,165,0,3d
166,166,0,3d
167,167,0,3d
168,168,0,3d
169,169,0,3d
170,170,0,3d
171,171,0,3d
172,172,0,2e
173,173,0,2e
174,174,0,2e
175,175,0,2e
176,176,0,2e
177,177,0,2e
178,178,0,2e
179,179,0,2e
180,180,0,2e
181,181,0,2e
182,182,0,2e
183,183,0,2e
184,184,0,2e
185,185,0,2e
186,186,0,2e
187,187,0,2e
188,188,0,2e
189,189,0,2e
190,190,0,2e
191,191,0,2e
192,192,0,2e
193,193,0,20
194,194,0,20
195,195,0,20
196,196,0,20
197,197,0,20
198,198,0,20
199,199,0,20
200,200,0,20
201,201,0,20
202,202,0,20
203,203,0,20
204,204,0,20
205,205,0,20
206,206,0,20
207,207,0,20
208,208,0,20
209,209,0,20
210,210,0,20
211,211,0,20
212,212,0,20
213,213,0,20
214,214,0,13
215,215,0,13
216,216,0,13
217,217,0,13
218,218,0,13
219,219,0,13
220,220,0,13
221,221,0,13
222,222,0,13
223,223,0,13
224,224,0,13
225,225,0,13
226,226,0,13
227,227,0,13
228,228,0,13
229,229,0,13
230,230,0,13
231,231,0,13
232,232,0,13
233,233,0,13
234,234,0,13
235,235,0,0a
236,236,0,0a
237,237,0,0a
238,238,0,0a
239,239,0,0a
240,240,0,0a
241,241,0,0a
242,242,0,0a
243,243,0,0a
244,244,0,0a
245,245,0,0a
246,246,0,0a
247,247,0,0a
248,248,0,0a
249,249,0,0a
250,250,0,0a
251,251,0,0a
252,252,0,0a
253,253,0,0a
254,254,0,0a
255,255,0,0a
256,256,0,03
257,257,0,03
258,258,0,03
259,259,0,03
260,260,0,03
261,261,0,03
262,262,0,03
263,263,0,03
264,264,0,03
265,265,0,03
266,266,0,03
267,267,0,03
268,268,0,03
269,269,0,03
270,270,0,03
271,271,0,03
272,272,0,03
273,273,0,03
274,274,0,03
275,275,0,03
276,276,0,03
277,277,0,00
278,278,0,00
279,279,0,00
280,280,0,00
281,281,0,00
282,282,0,00
283,283,0,00
284,284,0,00
285,285,0,00
286,286,0,00
287,287,0,00
288,288,0,00
289,289,0,00
290,290,0,00
291,291,0,00
292,292,0,00
293,293,0,00
294,294,0,00
295,295,0,00
296,296,0,00
297,297,0,00
298,298,0,00
299,299,0,00
300,300,0,00
301,301,0,00
302,302,0,00
303,303,0,00
304,304,0,00
305,305,0,00
306,306,0,00
307,307,0,00
308,308,0,00
309,309,0,00
310,310,0,00
311,311,0,00
312,312,0,00
313,313,0,00
314,314,0,00
315,315,0,00
316,316,0,00
317,317,0,00
318,318,0,00
319,319,0,03
320,320,0,03
321,321,0,03
322,322,0,03
323,323,0,03
324,324,0,03
325,325,0,03
326,326,0,03
327,327,0,03
328,328,0,03
329,329,0,03
330,330,0,03
331,331,0,03
332,332,0,03
333,333,0,03
334,334,0,03
335,335,0,03
336,336,0,03
337,337,0,03
338,338,0,03
339,339,0,03
340,340,0,0a
341,341,0,0a
342,342,0,0a
343,343,0,0a
344,344,0,0a
345,345,0,0a
346,346,0,0a
347,347,0,0a
348,348,0,0a
349,349,0,0a
350,350,0,0a
351,351,0,0a
352,352,0,0a
353,353,0,0a
354,354,0,0a
355,355,0,0a
356,356,0,0a
357,357,0,0a
358,358,0,0a
359,359,0,0a
360,360,0,0a
361,361,0,13
362,362,0,13
363,363,0,13
364,364,0,13
365,365,0,13
366,366,0,13
367,367,0,13
368,368,0,13
369,369,0,13
370,370,0,13
371,371,0,13
372,372,0,13
373,373,0,13
374,374,0,13
375,375,0,13
376,376,0,13
377,377,0,13
378,378,0,13
379,379,0,13
380,380,0,13
381,381,0,13
382,382,0,20
383,383,0,20
384,384,0,20
385,385,0,20
386,386,0,20
387,387,0,20
388,388,0,20
389,389,0,20
390,390,0,20
391,391,0,20
392,392,0,20
393,393,0,20
394,394,0,20
395,395,0,20
396,396,0,20
397,397,0,20
398,398,0,20
399,399,0,20
400,400,0,20
401,401,0,20
402,402,0,20
403,403,0,2e
404,404,0,2e
405,405,0,2e
406,406,0,2e
407,407,0,2e
408,408,0,2e
409,409,0,2e
410,410,0,2e
411,411,0,2e
412,412,0,2e
413,413,0,2e
414,414,0,2e
415,415,0,2e
416,416,0,2e
417,417,0,2e
418,418,0,2e
419,419,0,2e
420,420,0,2e
421,421,0,2e
422,422,0,2e
423,423,0,2e
424,424,0,3d
425,425,0,3d
426,426,0,3d
427,427,0,3d
428,428,0,3d
429,429,0,3d
430,430,0,3d
431,431,0,3d
432,432,0,3d
433,433,0,3d
434,434,0,3d
435,435,0,3d
436,436,0,3d
437,437,0,3d
438,438,0,3d
439,439,0,3d
440,440,0,3d
441,441,0,3d
442,442,0,3d
443,443,0,3d
444,444,0,3d
445,445,0,4d
446,446,0,4d
447,447,0,4d
448,448,0,4d
449,449,0,4d
450,450,0,4d
451,451,0,4d
452,452,0,4d
453,453,0,4d
454,454,0,4d
455,455,0,4d
456,456,0,4d
457,457,0,4d
458,458,0,4d
459,459,0,4d
460,460,0,4d
461,461,0,4d
462,462,0,4d
463,463,0,4d
464,464,0,4d
465,465,0,4d
466,466,0,5d
467,467,0,5d
468,468,0,5d
469,469,0,5d
470,470,0,5d
471,471,0,5d
472,472,0,5d
473,473,0,5d
474,474,0,5d
475,475,0,5d
476,476,0,5d
477,477,0,5d
478,478,0,5d
479,479,0,5d
480,480,0,5d
481,481,0,5d
482,482,0,5d
483,483,0,5d
484,484,0,5d
485,485,0,5d
486,486,0,5d
487,487,0,6c
488,488,0,6c
489,489,0,6c
490,490,0,6c
491,491,0,6c
492,492,0,6c
493,493,0,6c
494,494,0,6c
495,495,0,6c
496,496,0,6c
497,497,0,6c
498,498,0,6c
499,499,0,6c
500,500,0,6c
501,501,0,6c
502,502,0,6c
503,503,0,6c
504,504,0,6c
505,505,0,6c
506,506,0,6c
507,507,0,6c
508,508,0,7a
509,509,0,7a
510,510,0,7a
511,511,0,7a
512,512,1,7a
513,513,0,7a
514,514,0,7a
515,515,0,7a
516,516,0,7a
517,517,0,7a
518,518,0,7a
519,519,0,7a
520,520,0,7a
521,521,0,7a
522,522,0,7a
523,523,0,7a
524,524,0,7a
525,525,0,7a
526,526,0,7a
527,527,0,7a
528,528,0,7a
529,529,0,87
530,530,0,87
531,531,0,87
532,532,0,87
533,533,0,87
534,534,0,87
535,535,0,87
536,536,0,87
537,537,0,87
538,538,0,87
539,539,0,87
540,540,0,87
541,541,0,87
542,542,0,87
543,543,0,87
544,544,0,87
545,545,0,87
546,546,0,87
547,547,0,87
548,548,0,87
549,549,0,87
550,550,0,90
551,551,0,90
552,552,0,90
553,553,0,90
554,554,0,90
555,555,0,90
556,556,0,90
557,557,0,90
558,558,0,90
559,559,0,90
560,560,0,90
561,561,0,90
562,562,0,90
563,563,0,90
564,564,0,90
565,565,0,90
566,566,0,90
567,567,0,90
568,568,0,90
569,569,0,90
570,570,0,90
571,571,0,97
572,572,0,97
573,573,0,97
574,574,0,97
575,575,0,97
576,576,0,97
577,577,0,97
578,578,0,97
579,579,0,97
580,580,0,97
581,581,0,97
582,582,0,97
583,583,0,97
584,584,0,97
585,585,0,97
586,586,0,97
587,587,0,97
588,588,0,97
589,589,0,97
590,590,0,97
591,591,0,97
592,592,0,9a
593,593,0,9a
594,594,0,9a
595,595,0,9a
596,596,0,9a
597,597,0,9a
598,598,0,9a
599,599,0,9a
600,600,0,9a
601,601,0,9a
602,602,0,9a
603,603,0,9a
604,604,0,9a
605,605,0,9a
606,606,0,9a
607,607,0,9a
608,608,0,9a
609,609,0,9a
610,610,0,9a
611,611,0,9a
612,612,0,9a
613,613,0,9a
614,614,0,9a
615,615,0,9a
616,616,0,9a
617,617,0,9a
618,618,0,9a
619,619,0,9a
620,620,0,9a
621,621,0,9a
622,622,0,9a
623,623,0,9a
624,624,0,9a
625,625,0,9a
626,626,0,9a
627,627,0,9a
628,628,0,9a
629,629,0,9a
630,630,0,9a
631,631,0,9a
632,632,0,9a
633,633,0,9a
634,634,0,97
635,635,0,97
636,636,0,97
637,637,0,97
638,638,0,97
639,639,0,97
640,640,0,97
641,641,0,97
642,642,0,97
643,643,0,97
644,644,0,97
645,645,0,97
646,646,0,97
647,647,0,97
648,648,0,97
649,649,0,97
650,650,0,97
651,651,0,97
652,652,0,97
653,653,0,97
654,654,0,97
655,655,0,90
656,656,0,90
657,657,0,90
658,658,0,90
659,659,0,90
660,660,0,90
661,661,0,90
662,662,0,90
663,663,0,90
664,664,0,90
665,665,0,90
666,666,0,90
667,667,0,90
668,668,0,90
669,669,0,90
670,670,0,90
671,671,0,90
672,672,0,90
673,673,0,90
674,674,0,90
675,675,0,90
676,676,0,87
677,677,0,87
678,678,0,87
679,679,0,87
680,680,0,87
681,681,0,87
682,682,0,87
683,683,0,87
684,684,0,87
685,685,0,87
686,686,0,87
687,687,0,87
688,688,0,87
689,689,0,87
690,690,0,87
691,691,0,87
692,692,0,87
693,693,0,87
694,694,0,87
695,695,0,87
696,696,0,87
697,697,0,7a
698,698,0,7a
699,699,0,7a
700,700,0,7a
701,701,0,7a
702,702,0,7a
703,703,0,7a
704,704,0,7a
705,705,0,7a
706,706,0,7a
707,707,0,7a
708,708,0,7a
709,709,0,7a
710,710,0,7a
711,711,0,7a
712,712,0,7a
713,713,0,7a
714,714,0,7a
715,715,0,7a
716,716,0,7a
717,717,0,7a
718,718,0,6c
719,719,0,6c
720,720,0,6c
721,721,0,6c
722,722,0,6c
723,723,0,6c
724,724,0,6c
725,725,0,6c
726,726,0,6c
727,727,0,6c
728,728,0,6c
729,729,0,6c
730,730,0,6c
731,731,0,6c
732,732,0,6c
733,733,0,6c
734,734,0,6c
735,735,0,6c
736,736,0,6c
737,737,0,6c
738,738,0,6c
739,739,0,5d
740,740,0,5d
741,741,0,5d
742,742,0,5d
743,743,0,5d
744,744,0,5d
745,745,0,5d
746,746,0,5d
747,747,0,5d
748,748,0,5d
749,749,0,5d
750,750,0,5d
751,751,0,5d
752,752,0,5d
753,753,0,5d
754,754,0,5d
755,755,0,5d
756,756,0,5d
757,757,0,5d
758,758,0,5d
759,759,0,5d
760,760,0,4d
761,761,0,4d
762,762,0,4d
763,763,0,4d
764,764,0,4d
765,765,0,4d
766,766,0,4d
767,767,0,4d
768,768,0,4d
769,769,0,4d
770,770,0,4d
771,771,0,4d
772,772,0,4d
773,773,0,4d
774,774,0,4d
775,775,0,4d
776,776,0,4d
777,777,0,4d
778,778,0,4d
779,779,0,4d
780,780,0,4d
781,781,0,3d
782,782,0,3d
783,783,0,3d
784,784,0,3d
785,785,0,3d
786,786,0,3d
787,787,0,3d
788,788,0,3d
789,789,0,3d
790,790,0,3d
791,791,0,3d
792,792,0,3d
793,793,0,3d
794,794,0,3d
795,795,0,3d
796,796,0,3d
797,797,0,3d
798,798,0,3d
799,799,0,3d
800,800,0,3d
801,801,0,3d
802,802,0,2e
803,803,0,2e
804,804,0,2e
805,805,0,2e
806,806,0,2e
807,807,0,2e
808,808,0,2e
809,809,0,2e
810,810,0,2e
811,811,0,2e
812,812,0,2e
813,813,0,2e
814,814,0,2e
815,815,0,2e
816,816,0,2e
817,817,0,2e
818,818,0,2e
819,819,0,2e
820,820,0,2e
821,821,0,2e
822,822,0,2e
823,823,0,20
824,824,0,20
825,825,0,20
826,826,0,20
827,827,0,20
828,828,0,20
829,829,0,20
830,830,0,20
831,831,0,20
832,832,0,20
833,833,0,20
834,834,0,20
835,835,0,20
836,836,0,20
837,837,0,20
838,838,0,20
839,839,0,20
840,840,0,20
841,841,0,20
842,842,0,20
843,843,0,20
844,844,0,13
845,845,0,13
846,846,0,13
847,847,0,13
848,848,0,13
849,849,0,13
850,850,0,13
851,851,0,13
852,852,0,13
853,853,0,13
854,854,0,13
855,855,0,13
856,856,0,13
857,857,0,13
858,858,0,13
859,859,0,13
860,860,0,13
861,861,0,13
862,862,0,13
863,863,0,13
864,864,0,13
865,865,0,0a
866,866,0,0a
867,867,0,0a
868,868,0,0a
869,869,0,0a
870,870,0,0a
871,871,0,0a
872,872,0,0a
873,873,0,0a
874,874,0,0a
875,875,0,0a
876,876,0,0a
877,877,0,0a
878,878,0,0a
879,879,0,0a
880,880,0,0a
881,881,0,0a
882,882,0,0a
883,883,0,0a
884,884,0,0a
885,885,0,0a
886,886,0,03
887,887,0,03
888,888,0,03
889,889,0,03
890,890,0,03
891,891,0,03
892,892,0,03
893,893,0,03
894,894,0,03
895,895,0,03
896,896,0,03
897,897,0,03
898,898,0,03
899,899,0,03
900,900,0,03
901,901,0,03
902,902,0,03
903,903,0,03
904,904,0,03
905,905,0,03
906,906,0,03
907,907,0,00
908,908,0,00
909,909,0,00
910,910,0,00
911,911,0,00
912,912,0,00
913,913,0,00
914,914,0,00
915,915,0,00
916,916,0,00
917,917,0,00
918,918,0,00
919,919,0,00
920,920,0,00
921,921,0,00
922,922,0,00
923,923,0,00
924,924,0,00
925,925,0,00
926,926,0,00
927,927,0,00
928,928,0,00
929,929,0,00
930,930,0,00
931,931,0,00
932,932,0,00
933,933,0,00
934,934,0,00
935,935,0,00
936,936,0,00
937,937,0,00
938,938,0,00
939,939,0,00
940,940,0,00
941,941,0,00
942,942,0,00
943,943,0,00
944,944,0,00
945,945,0,00
946,946,0,00
947,947,0,00
948,948,0,00
949,949,0,03
950,950,0,03
951,951,0,03
952,952,0,03
953,953,0,03
954,954,0,03
955,955,0,03
956,956,0,03
957,957,0,03
958,958,0,03
959,959,0,03
960,960,0,03
961,961,0,03
962,962,0,03
963,963,0,03
964,964,0,03
965,965,0,03
966,966,0,03
967,967,0,03
968,968,0,03
969,969,0,03
970,970,0,0a
971,971,0,0a
972,972,0,0a
973,973,0,0a
974,974,0,0a
975,975,0,0a
976,976,0,0a
977,977,0,0a
978,978,0,0a
979,979,0,0a
980,980,0,0a
981,981,0,0a
982,982,0,0a
983,983,0,0a
984,984,0,0a
985,985,0,0a
986,986,0,0a
987,987,0,0a
988,988,0,0a
989,989,0,0a
990,990,0,0a
991,991,0,13
992,992,0,13
993,993,0,13
994,994,0,13
995,995,0,13
996,996,0,13
997,997,0,13
998,998,0,13
999,999,0,13
1000,1000,0,13
1001,1001,0,13
1002,1002,0,13
1003,1003,0,13
1004,1004,0,13
1005,1005,0,13
1006,1006,0,13
1007,1007,0,13
1008,1008,0,13
1009,1009,0,13
1010,1010,0,13
1011,1011,0,13
1012,1012,0,20
1013,1013,0,20
1014,1014,0,20
1015,1015,0,20
1016,1016,0,20
1017,1017,0,20
1018,1018,0,20
1019,1019,0,20
1020,1020,0,20
1021,1021,0,20
1022,1022,0,20
1023,1023,0,20
